Statistical profiling result from clg_off-v8.log, (25285 ticks, 31 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  13396   53.0%          /usr/lib64/libnode.so.93
   3189   12.6%          /usr/lib64/libc-2.17.so
    595    2.4%          /usr/lib64/libpthread-2.17.so
    126    0.5%          [vdso]
    114    0.5%          /usr/lib64/libuv.so.1.0.0
     67    0.3%          /usr/lib64/libcrypto.so.1.1.1k
     14    0.1%          /usr/lib64/libstdc++.so.6.0.19
      1    0.0%          /usr/lib64/libssl.so.1.1.1k

 [JavaScript]:
   ticks  total  nonlib   name
    154    0.6%    2.0%  LazyCompile: *getTemplate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:108:20
    141    0.6%    1.8%  LazyCompile: *join node:path:1166:7
     79    0.3%    1.0%  LazyCompile: *next /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:177:16
     56    0.2%    0.7%  LazyCompile: *renderView /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:183:19
     36    0.1%    0.5%  LazyCompile: *ret /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
     33    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
     29    0.1%    0.4%  LazyCompile: *resOnFinish node:_http_server:816:21
     28    0.1%    0.4%  LazyCompile: *relative node:path:1190:11
     27    0.1%    0.3%  LazyCompile: *<anonymous> file:///mnt/c/Users/Marco%20Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/src/routes/info.routes.js:11:30
     25    0.1%    0.3%  LazyCompile: *parserOnIncoming node:_http_server:880:26
     24    0.1%    0.3%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     23    0.1%    0.3%  LazyCompile: *send /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/response.js:111:25
     22    0.1%    0.3%  LazyCompile: *resolve node:path:1091:10
     22    0.1%    0.3%  LazyCompile: *render /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     22    0.1%    0.3%  LazyCompile: *_getDir /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:266:16
     20    0.1%    0.3%  LazyCompile: *<anonymous> :1:20
     19    0.1%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
     17    0.1%    0.2%  LazyCompile: *setStreamTimeout node:internal/stream_base_commons:237:26
     16    0.1%    0.2%  LazyCompile: *getHeader node:_http_outgoing:647:57
     16    0.1%    0.2%  LazyCompile: *end node:_http_outgoing:912:45
     15    0.1%    0.2%  LazyCompile: *getPartials /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:52:20
     15    0.1%    0.2%  LazyCompile: *get node:_http_incoming:112:16
     14    0.1%    0.2%  LazyCompile: *initialize /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/initialize.js:51:29
     14    0.1%    0.2%  LazyCompile: *emit node:events:460:44
     14    0.1%    0.2%  LazyCompile: *Writable.write node:internal/streams/writable:335:36
     14    0.1%    0.2%  LazyCompile: *Writable.write /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_writable.js:288:37
     14    0.1%    0.2%  LazyCompile: *Socket._writeGeneric node:net:848:42
     13    0.1%    0.2%  LazyCompile: *render /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/application.js:548:29
     13    0.1%    0.2%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
     12    0.0%    0.2%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
     12    0.0%    0.2%  LazyCompile: *trim_prefix /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:293:23
     12    0.0%    0.2%  LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
     12    0.0%    0.2%  LazyCompile: *handle /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:136:31
     12    0.0%    0.2%  LazyCompile: *extend /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
     12    0.0%    0.2%  LazyCompile: *_storeHeader node:_http_outgoing:384:22
     11    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
     11    0.0%    0.1%  LazyCompile: *hash /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:596:14
     11    0.0%    0.1%  LazyCompile: *Readable.on node:internal/streams/readable:874:33
     10    0.0%    0.1%  LazyCompile: *session /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:179:26
     10    0.0%    0.1%  LazyCompile: *program /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:155:30
     10    0.0%    0.1%  LazyCompile: *onResponseHeaders /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compression/index.js:140:47
     10    0.0%    0.1%  LazyCompile: *header /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/response.js:777:29
      9    0.0%    0.1%  RegExp: [&<>"'`=]
      9    0.0%    0.1%  LazyCompile: *write_ node:_http_outgoing:790:16
      9    0.0%    0.1%  LazyCompile: *store.generate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:158:28
      9    0.0%    0.1%  LazyCompile: *preferredEncodings /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:138:28
      9    0.0%    0.1%  LazyCompile: *lookupProperty /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      9    0.0%    0.1%  LazyCompile: *format /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/content-type/index.js:65:17
      9    0.0%    0.1%  LazyCompile: *endReadableNT node:internal/streams/readable:1351:23
      8    0.0%    0.1%  LazyCompile: *log /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston/lib/winston/transports/console.js:44:6
      8    0.0%    0.1%  LazyCompile: *ReadableState node:internal/streams/readable:78:23
      7    0.0%    0.1%  LazyCompile: *writeHead node:_http_server:292:19
      7    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:119:24
      7    0.0%    0.1%  LazyCompile: *validateNumber node:internal/validators:124:24
      7    0.0%    0.1%  LazyCompile: *randomFillSync node:internal/crypto/random:113:24
      7    0.0%    0.1%  LazyCompile: *getTemplates /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:135:21
      7    0.0%    0.1%  LazyCompile: *getEncodingOps node:buffer:684:24
      7    0.0%    0.1%  LazyCompile: *fastparse /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/parseurl/index.js:95:20
      7    0.0%    0.1%  LazyCompile: *createNewLookupObject /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      7    0.0%    0.1%  LazyCompile: *compression /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compression/index.js:59:31
      7    0.0%    0.1%  LazyCompile: *authenticate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/authenticate.js:94:31
      7    0.0%    0.1%  LazyCompile: *_flushOutput node:_http_outgoing:1030:63
      7    0.0%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:640:37
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/helpers/if.js:15:42
