Statistical profiling result from clg_on-v8.log, (42222 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  20572   48.7%          /usr/lib64/libnode.so.93
   5911   14.0%          /usr/lib64/libpthread-2.17.so
   4267   10.1%          /usr/lib64/libc-2.17.so
    178    0.4%          [vdso]
    161    0.4%          /usr/lib64/libuv.so.1.0.0
    103    0.2%          /usr/lib64/libcrypto.so.1.1.1k
     11    0.0%          /usr/lib64/libstdc++.so.6.0.19
      2    0.0%          /usr/lib64/libssl.so.1.1.1k

 [JavaScript]:
   ticks  total  nonlib   name
    187    0.4%    1.7%  LazyCompile: *getTemplate /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:108:20
    184    0.4%    1.7%  LazyCompile: *join node:path:1166:7
    117    0.3%    1.1%  LazyCompile: *next /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:177:16
     85    0.2%    0.8%  LazyCompile: *renderView /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:183:19
     73    0.2%    0.7%  LazyCompile: *ret /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
     62    0.1%    0.6%  LazyCompile: *relative node:path:1190:11
     48    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
     44    0.1%    0.4%  LazyCompile: *<anonymous> :1:20
     43    0.1%    0.4%  LazyCompile: *formatValue node:internal/util/inspect:750:21
     42    0.1%    0.4%  LazyCompile: *resolve node:path:1091:10
     39    0.1%    0.4%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     36    0.1%    0.3%  LazyCompile: *<anonymous> file:///mnt/c/Users/Marco%20Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/src/routes/info.routes.js:11:30
     35    0.1%    0.3%  LazyCompile: *_getDir /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:266:16
     33    0.1%    0.3%  LazyCompile: *writeOrBuffer node:internal/streams/writable:367:23
     33    0.1%    0.3%  LazyCompile: *end node:_http_outgoing:912:45
     31    0.1%    0.3%  LazyCompile: *send /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/response.js:111:25
     30    0.1%    0.3%  LazyCompile: *getPartials /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:52:20
